name,dd,dp,dh
Diethyl Phthalate,18,4,5
Disodium Edetate (EDTA Na₂),18,20,21
Ethyl Vanillin,18,8,14
Ethylparaben,18,6,10
Hydrophobic Colloidal Silica,18,5,8
Maleic Acid,18,14,13
Methylparaben,18,6,10
Neotame,18,9.5,13
Pentetic Acid (DTPA),18,16,20
Phenoxyethanol,18,5.3,10.5
Phenylethyl Alcohol,18,4.3,9
Poly(methyl vinyl ether/maleic anhydride),18,10,13
Polymethacrylates,18,7,8
Polyvinyl Acetate Phthalate,18,8,8.5
Polyvinyl Alcohol,18,8,15
Povidone (PVP),18,8,10
Propyl Gallate,18,6,14
Propylparaben,18,6,12
Propylparaben Sodium,18,10,14
Pyrrolidone (2-Pyrrolidone),18,8,10
Saccharin Sodium,18,12,13
Shellac,18,7,10
Sodium Benzoate,18,12,12
Sulfuric Acid,18,16,18
Thimerosal,18,8,10
Vanillin,18,8,15
Sodium Toluene Sulfonate,18,9,11
Acetamide ,18,11,14
Histidine,18,10.5,13.2
Benzyl Benzoate,18.2,4.9,7.4
dimethyl urea,18.2,10.5,13
Cellulose Acetate,18.4,7.8,9.6
Cellulose Acetate Phthalate,18.4,7.8,9.6
Copovidone,18.4,8.4,10.2
Dimethyl Phthalate,18.4,10.3,6.6
Dimethyl Sulfoxide (DMSO),18.4,16.4,10.2
Butylated Hydroxyanisole,18.5,9.5,4.5
Butylated Hydroxytoluene,18.5,3.5,4.5
Butylparaben,18.5,4.5,7
Chlorhexidine,18.5,8,9
Chlorocresol,18.5,3.5,5.5
Chloroxylenol,18.5,3.5,5
Cholesterol,18.5,2.5,3
Cresol,18.5,4,6.5
Dibutyl Phthalate,18.5,4,5
Phenylmercuric Acetate,18.5,8,9
Phenylmercuric Borate,18.5,8,9.5
Phenylmercuric Nitrate,18.5,9,10
Poly (DL-Lactic Acid),18.5,6.5,8
Salicylic Acid ,18.6,6.6,11.2
Niacinamide,18.6,9.2,13.2
Magnesium Oxide,19,7,6
Phenol,19,6,14
Propylene Carbonate,19,15.3,4.1
Saccharin,19,8,11
Iron Oxides,20,5,5
Talc,117,1,2
Ethanol,15.8,8.8,19.4
